ID,ID_EMPRESA,ID_ESTABLO,BAJA,MOT,GRU
53603,EMP01,EST01,-,-,LOTE 1
53607,EMP01,EST01,-,-,FRESCAS
53611,EMP01,EST01,-,-,LOTE 2
53615,EMP01,EST01,-,-,LOTE 2
53619,EMP01,EST01,-,-,SECAS
53622,EMP01,EST01,-,-,FRESCAS
53623,EMP01,EST01,-,-,SECAS
53638,EMP01,EST01,-,-,LOTE 1
53639,EMP01,EST01,-,-,SECAS
53641,EMP01,EST01,-,-,FRESCAS
53659,EMP01,EST01,-,-,LOTE 2
53661,EMP01,EST01,-,-,LOTE 2
53662,EMP01,EST01,-,-,LOTE 1
53663,EMP01,EST01,-,-,SECAS
53665,EMP01,EST01,-,-,LOTE 1
53671,EMP01,EST01,-,-,LOTE 1
53672,EMP01,EST01,-,-,LOTE 1
53694,EMP01,EST01,-,-,LOTE 1
53699,EMP01,EST01,-,-,SECAS
53720,EMP01,EST01,-,-,LOTE 2
53736,EMP01,EST01,-,-,FRESCAS
53756,EMP01,EST01,-,-,SECAS
53772,EMP01,EST01,-,-,FRESCAS
53773,EMP01,EST01,-,-,SECAS
53780,EMP01,EST01,-,-,SECAS
53787,EMP01,EST01,-,-,LOTE 2
53790,EMP01,EST01,-,-,FRESCAS
53795,EMP01,EST01,-,-,FRESCAS
53798,EMP01,EST01,-,-,LOTE 2
53800,EMP01,EST01,-,-,LOTE 2
53806,EMP01,EST01,-,-,SECAS
53810,EMP01,EST01,-,-,LOTE 1
53817,EMP01,EST01,-,-,LOTE 1
53818,EMP01,EST01,-,-,FRESCAS
53822,EMP01,EST01,-,-,LOTE 2
53829,EMP01,EST01,-,-,SECAS
53832,EMP01,EST01,-,-,LOTE 1
53839,EMP01,EST01,-,-,SECAS
53843,EMP01,EST01,-,-,LOTE 2
53844,EMP01,EST01,-,-,SECAS
53852,EMP01,EST01,-,-,LOTE 2
53856,EMP01,EST01,-,-,LOTE 2
53857,EMP01,EST01,-,-,LOTE 2
53865,EMP01,EST01,-,-,SECAS
53868,EMP01,EST01,-,-,SECAS
53870,EMP01,EST01,-,-,LOTE 2
53878,EMP01,EST01,-,-,LOTE 1
54026,EMP01,EST01,-,-,LOTE 1
54045,EMP01,EST01,-,-,LOTE 2
54070,EMP01,EST01,-,-,LOTE 1
